"","GENDER","EDU_FATHER","EDU_MOTHER","OCC_FATHER","OCC_MOTHER","STRATUM","SISBEN","PEOPLE_HOUSE","INTERNET","TV","COMPUTER","WASHING_MCH","MIC_OVEN","CAR","DVD","FRESH","PHONE","MOBILE","REVENUE","JOB","SCHOOL_NAT","SCHOOL_TYPE","MAT_S11","CR_S11","CC_S11","BIO_S11","ENG_S11","ACADEMIC_PROGRAM","QR_PRO","CR_PRO","CC_PRO","ENG_PRO","WC_PRO","FEP_PRO","G_SC","PERCENTILE","X2ND_DECILE","QUARTILE","SEL","SEL_IHE","AVG_S11"
"234","M","Not sure","Not sure","Executive","Independent professional","Stratum 4","It is not classified by the SISBEN","Two","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",70,62,59,64,59,"INDUSTRIAL ENGINEERING",82,82,5,62,91,138,158,68,"4","3","4","2",62.8
"235","F","Incomplete technical or technological","Incomplete Professional Education","Technical or professional level employee","Independent","Stratum 4","It is not classified by the SISBEN","Four","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",64,69,65,75,67,"INDUSTRIAL ENGINEERING",94,1,85,93,92,139,167,80,"5","4","4","2",68
"236","F","Postgraduate education","Complete professional education","Operator","Independent professional","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",72,74,68,70,59,"INDUSTRIAL ENGINEERING",84,100,73,86,57,218,182,92,"5","4","4","2",68.6
"237","F","Complete technique or technology","Complete technique or technology","Technical or professional level employee","Home","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",71,70,59,72,71,"INDUSTRIAL ENGINEERING",49,91,100,85,21,165,176,88,"5","4","3","2",68.6
"238","F","Incomplete primary","Incomplete primary","Independent","Home","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",56,55,53,61,54,"CIVIL ENGINEERING",46,67,69,44,39,154,150,57,"3","3","2","2",55.8
"239","F","Complete professional education","Complete Secundary","Independent","Independent","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",68,64,74,80,80,"INDUSTRIAL ENGINEERING",95,83,86,89,58,199,181,91,"5","4","2","2",73.2
"240","M","Complete Secundary","Complete professional education","Executive","Executive","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",93,70,66,82,85,"ELECTRONIC ENGINEERING",99,85,98,89,82,153,194,97,"5","4","4","4",79.2
"241","F","0","0","0","Home","Stratum 2","Level 2","Four","No","No","No","No","No","No","No","Yes","Yes","No","less than 1 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",62,52,59,66,54,"INDUSTRIAL ENGINEERING",86,70,89,68,90,148,176,88,"5","4","1","2",58.6
"242","M","Postgraduate education","Complete Secundary","Executive","Other occupation","Stratum 4","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",80,62,72,79,62,"CIVIL ENGINEERING",99,81,36,64,0,194,136,33,"2","2","2","2",71
"243","M","Complete Secundary","Complete Secundary","Operator","Home","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",74,64,57,70,68,"CIVIL ENGINEERING",97,45,87,89,50,189,173,86,"5","4","2","2",66.6
"244","M","Complete professional education","Incomplete Professional Education","Retired","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",72,76,69,70,76,"CIVIL ENGINEERING",100,86,85,90,16,168,180,91,"5","4","3","2",72.6
"245","F","Complete Secundary","Complete Secundary","Auxiliary or Administrative","Home","Stratum 3","It is not classified by the SISBEN","Four","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",51,52,57,58,52,"CIVIL ENGINEERING",66,55,54,63,41,132,152,59,"3","3","2","2",54
"246","M","Postgraduate education","Postgraduate education","Executive","Executive","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",85,87,82,82,82,"CIVIL ENGINEERING",97,96,92,95,58,183,190,96,"5","4","3","2",83.6
"247","F","0","0","0","Home","Stratum 5","It is not classified by the SISBEN","Five","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",70,62,64,72,73,"INDUSTRIAL ENGINEERING",93,91,86,83,84,198,185,94,"5","4","1","2",68.2
"248","F","Complete Secundary","Complete Secundary","Independent professional","Independent professional","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",68,58,58,71,53,"INDUSTRIAL ENGINEERING",90,63,8,73,70,156,155,64,"4","3","2","2",61.6
"249","F","Incomplete Secundary","Complete Secundary","Operator","Operator","Stratum 3","It is not classified by the SISBEN","Three","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",64,56,59,64,64,"INDUSTRIAL ENGINEERING",89,56,10,72,7,97,142,44,"3","2","1","2",61.4
"250","F","Complete Secundary","Complete Secundary","Operator","Independent","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",54,62,53,61,54,"INDUSTRIAL ENGINEERING",62,89,65,68,28,170,160,71,"4","3","2","2",56.8
"251","F","Postgraduate education","Postgraduate education","Executive","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",53,60,60,65,60,"CIVIL ENGINEERING",92,35,25,61,37,164,148,53,"3","3","4","2",59.6
"252","F","Complete professional education","Complete technique or technology","Executive","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",64,62,60,62,78,"INDUSTRIAL ENGINEERING",36,43,64,85,24,133,150,57,"3","3","4","2",65.2
"253","M","Incomplete primary","Incomplete primary","0","0","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",74,64,61,68,71,"CIVIL ENGINEERING",92,84,24,63,60,161,160,72,"4","3","4","2",67.6
"254","F","Postgraduate education","Postgraduate education","Independent professional","Independent professional","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",74,68,66,75,64,"CIVIL ENGINEERING",67,49,19,86,24,136,148,53,"3","3","4","2",69.4
"255","F","Incomplete Secundary","Postgraduate education","Small entrepreneur","Independent professional","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",85,79,66,77,62,"INDUSTRIAL ENGINEERING",99,95,35,93,8,159,169,82,"5","4","4","2",73.8
"256","M","Not sure","Complete professional education","Other occupation","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",59,49,53,53,54,"INDUSTRIAL ENGINEERING",78,27,17,41,80,146,145,48,"3","2","4","2",53.6
"257","M","Complete professional education","Complete professional education","Entrepreneur","Small entrepreneur","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",59,64,65,65,64,"CIVIL ENGINEERING",79,68,75,73,78,181,169,82,"5","4","4","2",63.4
"258","M","Incomplete Secundary","Incomplete technical or technological","Retired","Home","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",62,77,64,66,85,"MECHANICAL ENGINEERING",77,50,57,99,12,143,160,72,"4","3","3","2",70.8
"259","M","Postgraduate education","Complete professional education","Executive","Executive","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",86,85,72,81,90,"MECHANICAL ENGINEERING",100,99,100,100,41,105,218,100,"5","4","4","2",82.8
"260","M","Postgraduate education","Incomplete Professional Education","Executive","Executive","Stratum 6","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",100,79,76,92,76,"INDUSTRIAL ENGINEERING",95,96,94,95,94,214,198,98,"5","4","4","2",84.6
"261","M","Postgraduate education","Postgraduate education","Independent","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",85,70,64,77,82,"MECHANICAL ENGINEERING",99,95,90,96,52,150,191,97,"5","4","4","2",75.6
"262","M","0","0","Entrepreneur","Home","Stratum 1","Level 1","Four","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",57,49,53,51,54,"CIVIL ENGINEERING",93,53,44,58,66,103,159,70,"4","3","1","2",52.8
"263","F","Postgraduate education","Postgraduate education","0","0","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",58,56,51,62,48,"INDUSTRIAL ENGINEERING",37,53,78,41,91,110,157,68,"4","3","4","2",55
"264","F","0","0","0","0","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",62,62,71,71,65,"INDUSTRIAL ENGINEERING",88,94,91,80,94,210,188,95,"5","4","1","2",66.2
"265","F","Complete Secundary","Complete Secundary","Independent","Home","Stratum 3","Level 3","Five","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",70,74,66,64,70,"INDUSTRIAL ENGINEERING",75,88,86,83,53,170,173,86,"5","4","1","2",68.8
"266","F","0","Incomplete primary","0","0","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",62,69,59,60,62,"INDUSTRIAL ENGINEERING",82,78,52,87,28,177,164,76,"4","4","2","2",62.4
"267","F","Incomplete Secundary","0","0","0","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","Yes, 20 hours or more per week","PRIVATE","TECHNICAL/ACADEMIC",77,70,64,70,80,"INDUSTRIAL ENGINEERING",100,84,71,92,57,210,184,93,"5","4","2","2",72.2
"268","F","Postgraduate education","Incomplete Professional Education","Executive","Home","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Between 3 and less than 5 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",75,59,59,85,52,"INDUSTRIAL ENGINEERING",99,51,20,44,48,181,152,60,"4","3","3","2",66
"269","F","Incomplete primary","0","0","Home","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",64,55,45,55,62,"CIVIL ENGINEERING",35,39,63,82,16,165,146,51,"3","3","4","2",56.2
"270","M","Incomplete primary","0","0","0","Stratum 3","It is not classified by the SISBEN","Four","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",66,67,66,67,62,"CIVIL ENGINEERING",98,68,72,96,10,175,171,83,"5","4","2","2",65.6
"271","M","Complete technique or technology","Incomplete technical or technological","Independent professional","Independent professional","Stratum 1","It is not classified by the SISBEN","Four","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",52,59,52,59,46,"CIVIL ENGINEERING",87,4,21,17,14,161,127,19,"1","1","2","2",53.6
"272","F","0","0","0","0","Stratum 2","Level 1","Four","No","Yes","No","Yes","No","No","No","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",59,70,55,64,55,"INDUSTRIAL ENGINEERING",52,37,89,69,50,153,156,66,"4","3","2","2",60.6
"273","M","Complete professional education","Complete professional education","Other occupation","Home","Stratum 6","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",76,70,71,83,90,"MECHANICAL ENGINEERING",90,100,74,98,67,113,190,96,"5","4","4","2",78
"274","F","Postgraduate education","Postgraduate education","Entrepreneur","Entrepreneur","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",66,67,68,64,75,"INDUSTRIAL ENGINEERING",82,74,11,90,92,62,166,79,"4","4","4","4",68
"275","M","Complete professional education","Complete professional education","Independent","Retired","Stratum 3","It is not classified by the SISBEN","Two","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",67,54,53,71,78,"CIVIL ENGINEERING",98,99,13,91,51,151,174,86,"5","4","3","2",64.6
"276","M","Complete Secundary","Complete Secundary","Small entrepreneur","Small entrepreneur","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",70,64,68,71,73,"INDUSTRIAL ENGINEERING",76,67,91,96,92,180,184,93,"5","4","3","2",69.2
"277","F","Complete primary","Complete Secundary","Independent","Small entrepreneur","Stratum 2","Level 2","Eight","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","less than 1 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",53,57,52,53,53,"INDUSTRIAL ENGINEERING",80,57,78,58,18,141,155,65,"4","3","2","2",53.6
"278","M","Postgraduate education","Complete professional education","Operator","Independent","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",84,74,76,77,70,"INDUSTRIAL ENGINEERING",90,92,46,80,17,183,164,76,"4","4","4","2",76.2
"279","M","Postgraduate education","Postgraduate education","Executive","Independent professional","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","0","No","PRIVATE","ACADEMIC",64,64,68,80,75,"CIVIL ENGINEERING",89,51,47,84,71,100,165,77,"4","4","4","2",70.2
"280","M","Incomplete Secundary","Complete Secundary","Entrepreneur","Entrepreneur","Stratum 2","Level 2","Three","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Between 3 and less than 5 LMMW","Yes, 20 hours or more per week","PRIVATE","ACADEMIC",51,41,44,48,54,"INDUSTRIAL ENGINEERING",43,36,39,30,50,109,138,37,"2","2","1","2",47.6
"281","M","0","0","0","0","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","0","PRIVATE","ACADEMIC",61,46,50,53,50,"MECHANICAL ENGINEERING",96,62,67,78,2,162,156,65,"4","3","2","2",52
"282","M","0","0","0","0","Stratum 1","Level 1","Five","Yes","No","No","Yes","No","No","No","Yes","No","Yes","less than 1 LMMW","Yes, less than 20 hours per week","PUBLIC","TECHNICAL/ACADEMIC",57,48,52,65,40,"CIVIL ENGINEERING",89,82,62,33,13,142,153,62,"4","3","1","2",52.4
"283","M","Complete Secundary","Complete Secundary","Small entrepreneur","Small entrepreneur","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",65,57,64,61,67,"INDUSTRIAL ENGINEERING",92,23,35,71,24,154,148,54,"3","3","2","2",62.8
"284","M","Postgraduate education","Postgraduate education","Technical or professional level employee","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",72,68,100,100,78,"CIVIL ENGINEERING",94,89,80,100,57,172,202,99,"5","4","4","2",83.6
"285","F","Incomplete Secundary","Incomplete Secundary","Small entrepreneur","Home","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","Yes, less than 20 hours per week","PUBLIC","TECHNICAL/ACADEMIC",49,48,48,53,49,"INDUSTRIAL ENGINEERING",50,19,12,39,23,140,128,21,"2","1","3","2",49.4
"286","F","Postgraduate education","0","0","0","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","less than 1 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",56,58,51,60,48,"INDUSTRIAL ENGINEERING",39,29,78,49,76,152,151,58,"3","3","2","2",54.6
"287","M","0","0","0","Home","Stratum 1","It is not classified by the SISBEN","Four","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",62,52,57,58,42,"CIVIL ENGINEERING",79,31,53,46,65,151,151,58,"3","3","2","2",54.2
"288","F","Complete Secundary","Complete Secundary","Independent","Entrepreneur","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",54,45,44,59,62,"CIVIL ENGINEERING",31,32,3,53,30,97,126,18,"1","1","2","2",52.8
"289","M","Complete Secundary","Complete Secundary","Small entrepreneur","Home","Stratum 3","It is not classified by the SISBEN","Four","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",64,58,55,61,70,"CIVIL ENGINEERING",82,57,18,77,76,76,157,67,"4","3","2","4",61.6
"290","M","Not sure","Not sure","Small entrepreneur","Small entrepreneur","Stratum 2","Level 3","Four","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",60,49,43,47,54,"MECHANICAL ENGINEERING",93,53,57,71,62,138,163,75,"4","4","2","2",50.6
"291","F","0","0","0","Home","Stratum 2","Level 2","Four","No","No","No","No","No","No","Yes","Yes","No","No","less than 1 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",62,77,69,75,43,"CIVIL ENGINEERING",96,77,96,68,19,179,172,85,"5","4","1","2",65.2
"292","F","Complete Secundary","Complete Secundary","Independent","Independent","Stratum 2","Level 2","Four","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",62,59,66,63,49,"CIVIL ENGINEERING",88,46,60,50,53,145,155,64,"4","3","2","2",59.8
"293","F","0","0","0","Home","Stratum 2","Level 2","Two","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","0","PUBLIC","TECHNICAL/ACADEMIC",58,56,57,58,52,"INDUSTRIAL ENGINEERING",52,57,71,59,41,140,152,60,"4","3","1","2",56.2
"294","M","0","0","0","Home","Stratum 3","Level 3","Three","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","0","PUBLIC","TECHNICAL/ACADEMIC",53,56,55,53,52,"CIVIL ENGINEERING",84,45,67,51,36,162,153,62,"4","3","2","2",53.8
"295","M","Incomplete Secundary","Complete Secundary","Independent","Home","Stratum 1","Level 1","Five","No","Yes","No","No","No","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","Yes, less than 20 hours per week","PUBLIC","TECHNICAL/ACADEMIC",62,55,64,52,54,"CIVIL ENGINEERING",98,38,5,57,18,192,142,43,"3","2","2","2",57.4
"296","F","0","0","0","Home","Stratum 2","Level 2","Three","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","0","PUBLIC","ACADEMIC",55,46,53,50,50,"INDUSTRIAL ENGINEERING",62,18,29,32,49,128,136,34,"2","2","2","2",50.8
"297","F","Complete Secundary","Complete Secundary","Independent","Home","Stratum 2","Level 1","Five","No","No","No","No","No","No","No","Yes","Yes","No","less than 1 LMMW","No","PUBLIC","ACADEMIC",85,74,71,77,75,"CIVIL ENGINEERING",96,93,88,75,82,186,185,94,"5","4","2","1",76.4
"298","M","Incomplete Professional Education","Complete professional education","Technical or professional level employee","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",72,62,58,64,60,"CIVIL ENGINEERING",89,88,31,86,46,165,166,78,"4","4","4","2",63.2
"299","F","Incomplete Secundary","Incomplete primary","Independent","Home","Stratum 1","Level 1","Four","No","No","Yes","No","No","No","No","Yes","Yes","No","less than 1 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",60,55,66,66,43,"INDUSTRIAL ENGINEERING",66,48,78,5,86,142,153,61,"4","3","1","2",58
"300","M","Complete primary","Complete Secundary","Retired","Home","Stratum 3","Level 3","Three","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",57,70,66,65,55,"INDUSTRIAL ENGINEERING",91,86,93,72,55,177,176,88,"5","4","2","2",62.6
"301","M","Complete primary","Complete primary","Independent","Home","Stratum 2","Level 2","Five","No","No","No","No","No","No","No","No","Yes","No","less than 1 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",64,67,69,70,50,"TRANSPORTATION AND ROAD ENGINEERING",94,74,88,57,8,181,161,73,"4","3","1","1",64
"302","M","Complete professional education","Incomplete Secundary","Operator","Operator","Stratum 3","Level 1","Five","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",67,50,55,65,57,"MECHATRONICS ENGINEERING",98,82,64,85,51,169,175,87,"5","4","2","2",58.8
"303","M","Complete primary","Complete professional education","Other occupation","Technical or professional level employee","Stratum 2","Level 2","Four","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",74,77,71,81,55,"CIVIL ENGINEERING",100,100,97,34,57,208,185,94,"5","4","2","2",71.6
"304","F","Complete technique or technology","Complete Secundary","Retired","Home","Stratum 4","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",69,74,71,68,49,"CIVIL ENGINEERING",93,56,78,80,60,60,170,83,"5","4","2","3",66.2
"305","M","Complete technique or technology","Complete technique or technology","Technical or professional level employee","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","One","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",65,51,56,61,54,"MECHANICAL ENGINEERING",86,38,11,55,11,144,137,34,"2","2","3","2",57.4
"306","F","Incomplete primary","Incomplete primary","0","0","Stratum 2","Level 2","Three","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Between 3 and less than 5 LMMW","0","PUBLIC","ACADEMIC",55,54,53,55,50,"INDUSTRIAL ENGINEERING",46,75,19,36,74,149,147,51,"3","3","3","1",53.4
"307","F","Complete technique or technology","Complete Secundary","Executive","Home","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",50,52,53,51,58,"CIVIL ENGINEERING",38,10,61,58,12,127,134,30,"2","2","4","2",52.8
"308","M","Complete Secundary","Complete Secundary","Other occupation","Home","Stratum 2","Level 2","Once","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",58,60,59,58,50,"CIVIL ENGINEERING",82,92,91,40,59,190,170,82,"5","4","2","2",57
"309","M","Complete primary","Complete primary","Other occupation","Other occupation","Stratum 1","Level 1","Two","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",65,67,74,61,42,"MECHANICAL ENGINEERING",85,61,2,1,17,86,126,19,"1","1","1","2",61.8
"310","M","Not sure","Complete Secundary","Independent","Independent","Stratum 1","Level 1","Two","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",47,51,50,48,45,"INDUSTRIAL ENGINEERING",57,32,54,54,76,162,151,58,"3","3","2","1",48.2
"311","F","Complete primary","Complete Secundary","Other occupation","Home","Stratum 1","Level 1","Five","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",65,68,66,68,58,"INDUSTRIAL ENGINEERING",79,88,97,77,57,182,178,89,"5","4","1","2",65
