"","GENDER","EDU_FATHER","EDU_MOTHER","OCC_FATHER","OCC_MOTHER","STRATUM","SISBEN","PEOPLE_HOUSE","INTERNET","TV","COMPUTER","WASHING_MCH","MIC_OVEN","CAR","DVD","FRESH","PHONE","MOBILE","REVENUE","JOB","SCHOOL_NAT","SCHOOL_TYPE","MAT_S11","CR_S11","CC_S11","BIO_S11","ENG_S11","ACADEMIC_PROGRAM","QR_PRO","CR_PRO","CC_PRO","ENG_PRO","WC_PRO","FEP_PRO","G_SC","PERCENTILE","X2ND_DECILE","QUARTILE","SEL","SEL_IHE","AVG_S11"
"67","M","Complete Secundary","Incomplete Secundary","Operator","Home","Stratum 2","It is not classified by the SISBEN","Three","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",69,62,68,73,46,"ELECTRIC ENGINEERING AND TELECOMMUNICATIONS",82,97,64,77,64,162,174,87,"5","4","2","3",63.6
"68","M","Incomplete Professional Education","Incomplete Professional Education","Auxiliary or Administrative","Auxiliary or Administrative","Stratum 3","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",65,51,51,61,53,"ELECTRONIC ENGINEERING",94,80,69,68,33,165,167,79,"4","4","4","2",56.2
"69","M","Complete professional education","Complete professional education","Executive","Home","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",67,67,68,58,75,"ELECTRIC ENGINEERING",78,75,78,85,27,169,167,79,"4","4","2","2",67
"70","M","Complete technique or technology","Complete professional education","Independent professional","Auxiliary or Administrative","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",67,58,59,58,78,"INDUSTRIAL ENGINEERING",83,53,3,86,42,139,148,54,"3","3","4","2",64
"71","F","Incomplete Professional Education","Complete Secundary","Independent","Home","Stratum 2","Level 1","Four","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",77,81,68,66,73,"CIVIL ENGINEERING",100,59,80,77,51,157,174,86,"5","4","2","2",73
"72","F","Complete professional education","Complete professional education","Independent professional","Independent professional","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",67,58,56,61,49,"INDUSTRIAL ENGINEERING",40,13,77,85,41,138,150,56,"3","3","4","2",58.2
"73","M","Complete professional education","Postgraduate education","Entrepreneur","Entrepreneur","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",72,75,68,70,71,"INDUSTRIAL ENGINEERING",89,81,99,97,75,146,192,97,"5","4","4","4",71.2
"74","F","Complete professional education","Incomplete Secundary","Independent","Operator","Stratum 2","Level 2","Four","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",54,55,59,58,55,"CIVIL ENGINEERING",75,93,86,50,2,170,156,65,"4","3","2","2",56.2
"75","F","Complete Secundary","Complete professional education","Operator","Technical or professional level employee","Stratum 2","Level 2","Four","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",61,67,57,63,44,"INDUSTRIAL ENGINEERING",97,77,88,75,62,165,178,89,"5","4","2","2",58.4
"76","M","Incomplete Professional Education","Incomplete Professional Education","Entrepreneur","Home","Stratum 6","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",71,63,56,72,88,"INDUSTRIAL ENGINEERING",98,83,60,100,79,193,187,95,"5","4","4","4",70
"77","F","Complete professional education","Complete professional education","Small entrepreneur","Home","Stratum 3","It is not classified by the SISBEN","Eight","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",72,49,59,63,92,"CIVIL ENGINEERING",96,45,42,97,76,169,172,85,"5","4","4","4",67
"78","M","Postgraduate education","Postgraduate education","Executive","Technical or professional level employee","Stratum 5","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",80,67,68,81,80,"INDUSTRIAL ENGINEERING",96,80,83,100,29,188,183,93,"5","4","4","4",75.2
"79","M","Complete professional education","Complete professional education","Entrepreneur","Independent","Stratum 6","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",73,68,63,72,82,"INDUSTRIAL ENGINEERING",99,91,88,98,81,187,196,98,"5","4","4","4",71.6
"80","M","Complete Secundary","Complete Secundary","Small entrepreneur","Home","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",63,58,39,64,76,"MECHANICAL ENGINEERING",88,1,25,94,94,152,155,64,"4","3","1","2",60
"81","M","Complete technique or technology","Complete professional education","Independent","Independent professional","Stratum 5","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",72,60,65,64,78,"CIVIL ENGINEERING",100,95,34,99,12,185,176,88,"5","4","2","2",67.8
"82","M","Postgraduate education","Postgraduate education","Executive","Executive","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",62,62,56,65,71,"ELECTRIC ENGINEERING AND TELECOMMUNICATIONS",78,58,70,76,38,173,160,71,"4","3","4","2",63.2
"83","M","Complete professional education","Complete professional education","Entrepreneur","Independent","Stratum 6","It is not classified by the SISBEN","Four","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",72,65,56,66,96,"INDUSTRIAL ENGINEERING",92,84,73,97,90,163,187,95,"5","4","2","4",71
"84","F","Complete Secundary","Complete Secundary","Independent","Home","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",56,60,49,44,64,"CIVIL ENGINEERING",67,11,49,82,74,141,153,61,"4","3","3","2",54.6
"85","M","Postgraduate education","Postgraduate education","Entrepreneur","Independent professional","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",51,54,48,48,39,"INDUSTRIAL ENGINEERING",89,9,8,58,59,119,139,39,"2","2","4","2",48
"86","F","Complete professional education","Complete professional education","Independent professional","Technical or professional level employee","Stratum 4","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",51,49,48,57,59,"MECHANICAL ENGINEERING",46,25,5,86,19,141,135,32,"2","2","3","2",52.8
"87","F","Complete professional education","Complete professional education","Executive","Small entrepreneur","Stratum 6","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",74,60,57,68,80,"ELECTRIC ENGINEERING",100,93,65,91,27,167,180,91,"5","4","4","4",67.8
"88","F","Complete Secundary","Incomplete primary","Independent","Other occupation","Stratum 1","It is not classified by the SISBEN","Four","No","No","No","Yes","No","No","No","Yes","Yes","No","less than 1 LMMW","No","PRIVATE","ACADEMIC",55,68,56,55,62,"INDUSTRIAL ENGINEERING",12,33,51,61,52,125,138,37,"2","2","2","2",59.2
"89","M","Complete professional education","Complete professional education","Executive","Executive","Stratum 6","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",67,62,59,75,88,"ELECTRIC ENGINEERING",98,100,89,100,93,153,220,100,"5","4","4","4",70.2
"90","M","Incomplete Professional Education","Complete professional education","Independent","Independent professional","Stratum 6","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",72,52,48,61,82,"INDUSTRIAL ENGINEERING",72,91,72,93,71,167,177,89,"5","4","4","2",63
"91","M","Postgraduate education","Postgraduate education","Retired","Executive","Stratum 6","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",74,81,83,85,92,"MECHANICAL ENGINEERING",83,91,100,100,93,205,203,99,"5","4","4","4",83
"92","M","Postgraduate education","Postgraduate education","Executive","Operator","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","10 or more LMMW","No","PRIVATE","ACADEMIC",74,62,68,75,88,"INDUSTRIAL ENGINEERING",67,75,78,96,67,185,175,87,"5","4","4","4",73.4
"93","M","Complete Secundary","Complete Secundary","Operator","Operator","Stratum 3","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","Yes, 20 hours or more per week","PRIVATE","ACADEMIC",54,54,45,55,49,"INDUSTRIAL ENGINEERING",97,3,8,44,12,114,129,23,"2","1","2","2",51.4
"94","F","Complete professional education","Complete Secundary","Small entrepreneur","Small entrepreneur","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",53,52,36,49,64,"CIVIL ENGINEERING",100,99,10,85,71,71,177,88,"5","4","2","3",50.8
"95","F","Incomplete primary","Complete primary","Operator","Operator","Stratum 2","Level 1","Two","No","No","No","No","No","Yes","Yes","No","No","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",46,67,53,58,100,"INDUSTRIAL ENGINEERING",35,1,2,8,62,120,110,5,"1","1","1","2",64.8
"96","M","Complete primary","Complete Secundary","Entrepreneur","Small entrepreneur","Stratum 2","Level 2","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","Yes, 20 hours or more per week","PRIVATE","ACADEMIC",54,57,45,51,40,"INDUSTRIAL ENGINEERING",61,20,11,18,49,97,130,24,"2","1","2","2",49.4
"97","F","Incomplete Professional Education","Complete Secundary","Retired","Auxiliary or Administrative","Stratum 3","It is not classified by the SISBEN","Two","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",80,62,59,64,75,"CIVIL ENGINEERING",100,81,98,87,80,179,193,97,"5","4","3","2",68
"98","F","Complete professional education","Complete professional education","Entrepreneur","Independent","Stratum 6","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",74,55,66,64,80,"INDUSTRIAL ENGINEERING",84,81,88,98,54,168,181,91,"5","4","4","4",67.8
"99","M","Complete technique or technology","Postgraduate education","Independent","Executive","Stratum 4","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 5 and less than 7 LMMW","No","PRIVATE","ACADEMIC",63,53,51,52,73,"CHEMICAL ENGINEERING",82,33,22,76,71,124,153,61,"4","3","2","4",58.4
"100","M","Complete professional education","Complete professional education","Executive","Executive","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",61,60,59,55,76,"INDUSTRIAL ENGINEERING",92,85,23,95,95,118,178,89,"5","4","4","4",62.2
"101","M","Postgraduate education","Complete professional education","Executive","Executive","Stratum 5","It is not classified by the SISBEN","Three","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",63,75,53,75,88,"MECHANICAL ENGINEERING",93,98,93,98,76,125,195,98,"5","4","4","4",70.8
"102","M","Complete professional education","Complete professional education","Entrepreneur","Home","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",67,43,48,68,85,"CIVIL ENGINEERING",47,35,43,93,34,148,151,59,"3","3","4","4",62.2
"103","M","Complete professional education","Complete professional education","Independent","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",83,81,68,81,82,"CHEMICAL ENGINEERING",100,86,100,98,98,167,208,100,"5","4","2","4",79
"104","M","Postgraduate education","Complete professional education","Executive","Small entrepreneur","Stratum 4","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",67,62,45,64,70,"INDUSTRIAL ENGINEERING",90,51,68,90,88,155,175,87,"5","4","4","4",61.6
"105","M","Postgraduate education","Postgraduate education","Operator","Operator","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",77,75,61,81,100,"MECHANICAL ENGINEERING",95,98,97,100,34,155,194,98,"5","4","4","4",78.8
"106","F","Postgraduate education","Postgraduate education","Entrepreneur","Independent professional","Stratum 6","It is not classified by the SISBEN","Six","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",71,67,64,68,88,"INDUSTRIAL ENGINEERING",91,97,93,96,86,162,195,98,"5","4","4","4",71.6
"107","F","Postgraduate education","Postgraduate education","Technical or professional level employee","Technical or professional level employee","Stratum 3","It is not classified by the SISBEN","Three","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PUBLIC","TECHNICAL/ACADEMIC",62,53,50,52,49,"INDUSTRIAL ENGINEERING",59,53,25,38,3,159,131,26,"2","2","4","2",53.2
"108","F","Complete professional education","Complete professional education","Independent professional","Independent","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",83,65,76,85,92,"ELECTRONIC ENGINEERING",91,93,88,97,78,181,190,96,"5","4","4","2",80.2
"109","M","Postgraduate education","Postgraduate education","Executive","Technical or professional level employee","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","TECHNICAL/ACADEMIC",67,75,72,78,96,"MECHANICAL ENGINEERING",99,66,97,100,80,174,195,98,"5","4","3","4",77.6
"110","M","Complete technique or technology","Complete technique or technology","Entrepreneur","Entrepreneur","Stratum 3","It is not classified by the SISBEN","Two","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","Yes, less than 20 hours per week","PRIVATE","ACADEMIC",74,64,59,75,96,"AERONAUTICAL ENGINEERING",95,70,1,99,96,79,171,83,"5","4","4","2",73.6
"111","F","Complete technique or technology","Complete technique or technology","Technical or professional level employee","Independent","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",65,62,57,63,82,"MECHANICAL ENGINEERING",99,85,95,96,64,164,192,97,"5","4","4","4",65.8
"112","M","Not sure","Complete professional education","Other occupation","Small entrepreneur","Stratum 5","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",83,75,61,70,92,"CIVIL ENGINEERING",98,90,20,92,85,68,178,89,"5","4","4","4",76.2
"113","M","Complete professional education","Complete professional education","Small entrepreneur","Executive","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","No","PRIVATE","ACADEMIC",77,75,72,75,88,"CIVIL ENGINEERING",83,99,100,98,86,201,200,99,"5","4","4","2",77.4
"114","M","Postgraduate education","Postgraduate education","Small entrepreneur","Home","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",67,62,57,75,82,"CHEMICAL ENGINEERING",98,95,71,94,36,136,182,92,"5","4","4","4",68.6
"115","M","Not sure","Not sure","Other occupation","Other occupation","Stratum 3","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","Yes, less than 20 hours per week","PRIVATE","ACADEMIC",39,57,61,48,42,"INDUSTRIAL ENGINEERING",18,16,1,18,23,129,111,6,"1","1","2","2",49.4
"116","M","Complete professional education","Complete professional education","Other occupation","Other occupation","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 3 and less than 5 LMMW","Yes, less than 20 hours per week","PRIVATE","ACADEMIC",54,53,55,46,60,"CIVIL ENGINEERING",78,51,54,60,33,135,152,59,"3","3","4","2",53.6
"117","M","Complete Secundary","Incomplete Secundary","Operator","Home","Stratum 3","Level 2","Six","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","No","PUBLIC","ACADEMIC",58,58,48,60,50,"MECHATRONICS ENGINEERING",81,79,62,61,6,162,153,61,"4","3","2","2",54.8
"118","M","Complete professional education","Complete professional education","Executive","Executive","Stratum 6","It is not classified by the SISBEN","Three","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",69,65,68,78,85,"ELECTRONIC ENGINEERING",93,78,1,96,96,168,168,80,"5","4","4","4",73
"119","M","Complete professional education","Complete technique or technology","Retired","Small entrepreneur","Stratum 6","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",80,81,78,100,96,"INDUSTRIAL ENGINEERING",98,89,62,100,41,177,182,92,"5","4","4","4",87
"120","M","Complete Secundary","Complete Secundary","Independent","Independent","Stratum 3","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","Yes, less than 20 hours per week","PRIVATE","ACADEMIC",48,53,49,52,50,"INDUSTRIAL ENGINEERING",51,40,20,22,71,97,139,39,"2","2","3","2",50.4
